Model No,Basic Model Name,Epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,,
MODEL4,Basic Model-D,24,0.662435055,0.888005555,0.664187253,0.882875621,,
MODEL4,Basic Model-D,25,0.668247461,0.881437957,0.681293666,0.86752826,,
MODEL4,Basic Model-D,26,0.664493382,0.88489455,0.654344082,0.898222923,,
MODEL4,Basic Model-D,27,0.667954981,0.882820606,0.64280802,0.907108247,,
MODEL4,Basic Model-D,28,0.660010695,0.889388204,0.638517141,0.912762523,,
MODEL4,Basic Model-D,29,0.663938165,0.888351202,0.722732008,0.826332808,,
MODEL4,Basic Model-D,30,0.672044456,0.87729001,0.642874479,0.907916009,,
MODEL4,Basic Model-D,31,0.658498466,0.893190444,0.643746912,0.905492723,,
MODEL4,Basic Model-D,32,0.662639081,0.889042497,0.663215697,0.882875621,,
MODEL4,Basic Model-D,33,0.667823255,0.883166254,0.692687571,0.857027471,,
MODEL4,Basic Model-D,34,0.664656758,0.885240257,0.643276215,0.907916009,,
MODEL4,Basic Model-D,35,0.664232075,0.8873142,0.65283078,0.896607459,,
MODEL4,Basic Model-D,36,0.6576401,0.89491874,0.670229197,0.878029108,,
MODEL4,Basic Model-D,37,0.657672226,0.893190444,0.66275245,0.887722135,,
MODEL4,Basic Model-D,38,0.65703845,0.893190444,0.634630084,0.915993512,,
MODEL4,Basic Model-D,39,0.658481181,0.890770853,0.653595805,0.894991934,,
MODEL4,Basic Model-D,40,0.651831448,0.898029745,0.661357224,0.887722135,,
MODEL4,Basic Model-D,41,0.645961404,0.906671286,0.671822667,0.875605822,,
MODEL4,Basic Model-D,42,0.653900087,0.897684038,0.661718488,0.885298848,,
MODEL4,Basic Model-D,43,0.652446926,0.898721039,0.674289882,0.875605822,,
MODEL4,Basic Model-D,44,0.655924022,0.895610094,0.651685297,0.898222923,,
MODEL4,Basic Model-D,45,0.645195067,0.905634284,0.655300677,0.894991934,,
MODEL4,Basic Model-D,46,0.662971437,0.8873142,0.641768754,0.907108247,,
MODEL4,Basic Model-D,47,0.661795855,0.889388204,0.650696397,0.899838448,,
MODEL4,Basic Model-D,48,0.653452396,0.89491874,0.653313339,0.90064621,,
MODEL4,Basic Model-D,49,0.649212778,0.901486337,0.655565619,0.895799696,,
MODEL5,VGG-16-A,0,0.634790123,0.785171807,0.539073765,0.78675282,,
MODEL5,VGG-16-A,1,0.535115957,0.827848077,0.514799476,0.770597756,,
MODEL5,VGG-16-A,2,0.483582139,0.840867996,0.466801792,0.817447484,,
MODEL5,VGG-16-A,3,0.447681993,0.850271225,0.484656304,0.774636507,,
MODEL5,VGG-16-A,4,0.416612923,0.862567782,0.440214843,0.806946695,,
MODEL5,VGG-16-A,5,0.390931249,0.866546094,0.460667878,0.798061371,,
